configuration_id,configuration_label,algorithm,cost_strategy,edge_cost_lambda,seed_count,average_subgraph_triples_mean,average_subgraph_triples_std,average_distinct_nodes_mean,average_distinct_nodes_std,context_candidate_coverage_mean,context_candidate_coverage_std,candidate_reduction_percentage_mean,candidate_reduction_percentage_std,context_gold_coverage_mean,context_gold_coverage_std,context_full_gold_coverage_mean,context_full_gold_coverage_std,average_collected_prize_mean,average_collected_prize_std,average_edge_cost_mean,average_edge_cost_std
shortest_path,Унија на најкратки патеки,shortest_path,,,3,94.4709812905689,22.579043592519334,32.12352042764414,6.600267471303568,1.0,0.0,0.0,0.0,0.8880363730545624,0.006299633480161767,0.8377243222604047,0.006832963027175723,,,,
pcst_constant_0.01,"PCST, константна, $\lambda=0.01$",pcst,constant,0.01,3,14.454944635357007,0.2633549355710108,15.462199312714775,0.2627468077847849,1.0,0.0,0.0,0.0,0.8814643612862026,0.003909708350857147,0.8306605574646811,0.00519689102283936,68.31042382588775,1.516128394324756,0.14454944635356973,0.0026335493557098333
pcst_constant_0.25,"PCST, константна, $\lambda=0.25$",pcst,constant,0.25,3,14.454944635357007,0.2633549355710108,15.462199312714775,0.2627468077847849,1.0,0.0,0.0,0.0,0.8814643612862026,0.003909708350857147,0.8306605574646811,0.00519689102283936,68.31042382588775,1.516128394324756,3.613736158839252,0.0658387338927527
pcst_constant_0.5,"PCST, константна, $\lambda=0.5$",pcst,constant,0.5,3,14.304314623902252,0.24693586057462658,15.31118747613593,0.24673386185678978,0.9935810339590425,0.0030758759573937234,0.6055698765535648,0.2959573787377274,0.8813852689390691,0.00393592165323591,0.830278732340588,0.005503449906605442,68.24379534173349,1.5437874567487866,7.152157311951126,0.12346793028731368
pcst_constant_1,"PCST, константна, $\lambda=1$",pcst,constant,1.0,3,13.574074074074074,0.26219649363251946,14.580756013745704,0.2617912479793936,0.9485667062986733,0.0032958739347076584,5.01906925958402,0.33402837963239146,0.8754692241400788,0.0034504618987343336,0.816151202749141,0.005463569309375385,67.68633066055746,1.5688827642975678,13.574074074074074,0.26219649363251946
pcst_semantic_0.01,"PCST, семантичка, $\lambda=0.01$",pcst,semantic,0.01,3,13.704085528827799,0.27808189050241694,14.713822069492172,0.2771259420945123,1.0,0.0,0.0,0.0,0.8813715587181248,0.0043428148583309085,0.8308514700267278,0.005736914548040018,68.31042382588775,1.516128394324756,0.10481944875872219,0.002323945302767808
pcst_semantic_0.25,"PCST, семантичка, $\lambda=0.25$",pcst,semantic,0.25,3,13.701794578083238,0.277331825950161,14.711531118747615,0.27637328315382087,1.0,0.0,0.0,0.0,0.8813715587181248,0.0043428148583309085,0.8308514700267278,0.005736914548040018,68.31042382588775,1.516128394324756,2.6200945944621785,0.057996649644248215
pcst_semantic_0.5,"PCST, семантичка, $\lambda=0.5$",pcst,semantic,0.5,3,13.701794578083238,0.277331825950161,14.711531118747615,0.27637328315382087,1.0,0.0,0.0,0.0,0.8813715587181248,0.0043428148583309085,0.8308514700267278,0.005736914548040018,68.31042382588775,1.516128394324756,5.240189188924357,0.11599329928849643
pcst_semantic_1,"PCST, семантичка, $\lambda=1$",pcst,semantic,1.0,3,13.503054600992746,0.23844765005393753,14.512409316533029,0.2379188011931258,0.9912631818989227,0.004031019349558575,0.8223028355085612,0.3834494639666336,0.8811015538089447,0.004104968536148224,0.830278732340588,0.005736914548040018,68.21993127147766,1.5512488948205931,10.314021872734777,0.18983279754484558
