architecture,architecture_label,seed_count,hits_at_1_mean,hits_at_1_std,hits_at_5_mean,hits_at_5_std,hits_at_10_mean,hits_at_10_std,hits_at_candidate_limit_mean,hits_at_candidate_limit_std,ndcg_at_1_mean,ndcg_at_1_std,ndcg_at_5_mean,ndcg_at_5_std,ndcg_at_10_mean,ndcg_at_10_std,ndcg_at_candidate_limit_mean,ndcg_at_candidate_limit_std,retrieval_gold_coverage_mean,retrieval_gold_coverage_std,retrieval_full_gold_coverage_mean,retrieval_full_gold_coverage_std,average_candidate_count_mean,average_candidate_count_std,evaluated_instances_mean,evaluated_instances_std
graphsage,GraphSAGE,3,0.046200840015273005,0.015070004484051838,0.1660939289805269,0.02256324811408042,0.2520045819014891,0.03415361172021897,0.3216876670484918,0.04674512697305195,0.046200840015273005,0.015070004484051838,0.06814871973620439,0.01353025855132262,0.08739497244633931,0.017858018168231578,0.10247034475820177,0.021763727648223322,0.18655872116206418,0.03869522274572613,0.12924780450553644,0.031382332148956506,14.946162657502862,0.03587734195501835,1746.0,0.0
aa-graphsage,Advance GraphSAGE,3,0.22546773577701415,0.041464520817316344,0.6439480717831233,0.039165934283943736,0.8006872852233676,0.018532290592627072,0.8619702176403208,0.013745704467353959,0.22546773577701415,0.041464520817316344,0.38103605961648784,0.053023779256446135,0.4514597569840606,0.047312666057442554,0.4814116233398669,0.04455575101368008,0.743809960490446,0.028985057325602543,0.6439480717831233,0.036247252497306856,14.121038564337534,0.3052736639911439,1746.0,0.0
rgcn,R-GCN,3,0.1210385643375334,0.07581873136285323,0.3247422680412371,0.1817194781024603,0.4469263077510501,0.20070458865255392,0.5282550591828943,0.19004307538215387,0.1210385643375334,0.07581873136285323,0.18144068102375613,0.11852537430545312,0.2186205426858534,0.13404314157529315,0.2415239087566099,0.1390976495614455,0.3932586089102732,0.20003497050093508,0.31405116456662846,0.1779448461760284,14.772814051164568,0.30000540877602433,1746.0,0.0
hgt,HGT,3,0.2212676594119893,0.003813475440137096,0.5232913325696832,0.024064072175011452,0.6706758304696449,0.015820420752500727,0.7340588010691104,0.016443989524741395,0.2212676594119893,0.003813475440137096,0.3302809677643969,0.009022050868843567,0.3830982523946369,0.00874555522961929,0.40949198698715156,0.009743660177423622,0.6131143159255628,0.014493987233897804,0.5181366933944254,0.016622554067231954,14.29935089728904,0.0944832036661062,1746.0,0.0
rearev,ReaRev,3,0.5883925162275677,0.10277782698203455,0.7930507827415044,0.10251417962274022,0.8480336006109201,0.08415606770840466,0.8480336006109201,0.08415606770840466,0.5882016036655212,0.10368292336200342,0.6721999910370343,0.1074106794224492,0.7007280912882602,0.10147439945745679,0.6891917756507056,0.0995304100143898,0.7707533847319289,0.08838389785796094,0.7058037418862161,0.0872844216314715,10.0,0.0,1746.0,0.0
nbfnet,NBFNet,3,0.6924398625429554,0.015185651298468337,0.8783886979763268,0.007252164915319783,0.9211531118747613,0.005443519446118172,0.9312714776632304,0.003755692167412409,0.6924398625429554,0.015185651298468337,0.775068280416246,0.008451520710297467,0.7958117290393849,0.0073912843603185455,0.8005959469803358,0.006918891043919123,0.877021302854887,0.004562364795140788,0.8268423062237495,0.005736914548040021,11.036082474226804,0.11817148322778978,1746.0,0.0
